"Path","ServiceImport","DirectPrisma"
"D:\code\React\ERP\erp-nodejs\app\api\hr\attendance\dashboard\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\biometric\devices\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\biometric\devices\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\biometric\punch\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\biometric\sync\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\dashboard\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\departments\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\designations\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employee-types\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employee-types\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\import\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\[id]\anonymise\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\[id]\documents\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\[id]\documents\[docId]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\[id]\onboarding\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\employees\[id]\onboarding\[onboardingId]\tasks\[taskId]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\leave-balances\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\leave-balances\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\leave-types\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\leave-types\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\leaves\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\leaves\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\onboarding\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\onboarding\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\payroll\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\payroll\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\performance\appraisals\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\performance\appraisals\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\performance\kpi-templates\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\performance\kpi-templates\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\performance\kpis\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\performance\kpis\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\performance\reviews\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\performance\reviews\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\salary-components\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\salary-components\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\hr\shifts\route.ts","N","Y"
